#
#    Name:     cp864_DOSArabic to Unicode table
#    Unicode version: 2.0
#    Table version: 2.00
#    Table format:  Format A
#    Date:          04/24/96
#    Authors:       Lori Brownell <loribr@microsoft.com>
#                   K.D. Chang    <a-kchang@microsoft.com>
#    General notes: none
#
#    Format: Three tab-separated columns
#        Column #1 is the cp864_DOSArabic code (in hex)
#        Column #2 is the Unicode (in hex as 0xXXXX)
#        Column #3 is the Unicode name (follows a comment sign, '#')
#
#    The entries are in cp864_DOSArabic order
#
0x00	0x0000	#NULL
0xab	0xfe99	#ARABIC LETTER THEH ISOLATED FORM
0xac	0x060c	#ARABIC COMMA
0xad	0xfe9d	#ARABIC LETTER JEEM ISOLATED FORM
0xae	0xfea1	#ARABIC LETTER HAH ISOLATED FORM
0xaf	0xfea5	#ARABIC LETTER KHAH ISOLATED FORM
0xb0	0x0660	#ARABIC-INDIC DIGIT ZERO
0xb1	0x0661	#ARABIC-INDIC DIGIT ONE
0xb2	0x0662	#ARABIC-INDIC DIGIT TWO
0xb3	0x0663	#ARABIC-INDIC DIGIT THREE
0xb4	0x0664	#ARABIC-INDIC DIGIT FOUR
0xb5	0x0665	#ARABIC-INDIC DIGIT FIVE
0xb6	0x0666	#ARABIC-INDIC DIGIT SIX
0xb7	0x0667	#ARABIC-INDIC DIGIT SEVEN
0xb8	0x0668	#ARABIC-INDIC DIGIT EIGHT
0xb9	0x0669	#ARABIC-INDIC DIGIT NINE
0xba	0xfed1	#ARABIC LETTER FEH ISOLATED FORM
0xbb	0x061b	#ARABIC SEMICOLON
0xbc	0xfeb1	#ARABIC LETTER SEEN ISOLATED FORM
0xbd	0xfeb5	#ARABIC LETTER SHEEN ISOLATED FORM
0xbe	0xfeb9	#ARABIC LETTER SAD ISOLATED FORM
0xbf	0x061f	#ARABIC QUESTION MARK
0xc0	0x00a2	#CENT SIGN
0xc1	0xfe80	#ARABIC LETTER HAMZA ISOLATED FORM
0xc2	0xfe81	#ARABIC LETTER ALEF WITH MADDA ABOVE ISOLATED FORM
0xc3	0xfe83	#ARABIC LETTER ALEF WITH HAMZA ABOVE ISOLATED FORM
0xc4	0xfe85	#ARABIC LETTER WAW WITH HAMZA ABOVE ISOLATED FORM
0xc5	0xfeca	#ARABIC LETTER AIN FINAL FORM
0xc6	0xfe8b	#ARABIC LETTER YEH WITH HAMZA ABOVE INITIAL FORM
0xc7	0xfe8d	#ARABIC LETTER ALEF ISOLATED FORM
0xc8	0xfe91	#ARABIC LETTER BEH INITIAL FORM
0xc9	0xfe93	#ARABIC LETTER TEH MARBUTA ISOLATED FORM
0xca	0xfe97	#ARABIC LETTER TEH INITIAL FORM
0xcb	0xfe9b	#ARABIC LETTER THEH INITIAL FORM
0xcc	0xfe9f	#ARABIC LETTER JEEM INITIAL FORM
0xcd	0xfea3	#ARABIC LETTER HAH INITIAL FORM
0xce	0xfea7	#ARABIC LETTER KHAH INITIAL FORM
0xcf	0xfea9	#ARABIC LETTER DAL ISOLATED FORM
0xd0	0xfeab	#ARABIC LETTER THAL ISOLATED FORM
0xd1	0xfead	#ARABIC LETTER REH ISOLATED FORM
0xd2	0xfeaf	#ARABIC LETTER ZAIN ISOLATED FORM
0xd3	0xfeb3	#ARABIC LETTER SEEN INITIAL FORM
0xd4	0xfeb7	#ARABIC LETTER SHEEN INITIAL FORM
0xd5	0xfebb	#ARABIC LETTER SAD INITIAL FORM
0xd6	0xfebf	#ARABIC LETTER DAD INITIAL FORM
0xd7	0xfec1	#ARABIC LETTER TAH ISOLATED FORM
0xd8	0xfec5	#ARABIC LETTER ZAH ISOLATED FORM
0xd9	0xfecb	#ARABIC LETTER AIN INITIAL FORM
0xda	0xfecf	#ARABIC LETTER GHAIN INITIAL FORM
0xdb	0x00a6	#BROKEN VERTICAL BAR
0xdc	0x00ac	#NOT SIGN
0xdd	0x00f7	#DIVISION SIGN
0xde	0x00d7	#MULTIPLICATION SIGN
0xdf	0xfec9	#ARABIC LETTER AIN ISOLATED FORM
0xe0	0x0640	#ARABIC TATWEEL
0xe1	0xfed3	#ARABIC LETTER FEH INITIAL FORM
0xe2	0xfed7	#ARABIC LETTER QAF INITIAL FORM
0xe3	0xfedb	#ARABIC LETTER KAF INITIAL FORM
0xe4	0xfedf	#ARABIC LETTER LAM INITIAL FORM
0xe5	0xfee3	#ARABIC LETTER MEEM INITIAL FORM
0xe6	0xfee7	#ARABIC LETTER NOON INITIAL FORM
0xe7	0xfeeb	#ARABIC LETTER HEH INITIAL FORM
0xe8	0xfeed	#ARABIC LETTER WAW ISOLATED FORM
0xe9	0xfeef	#ARABIC LETTER ALEF MAKSURA ISOLATED FORM
0xea	0xfef3	#ARABIC LETTER YEH INITIAL FORM
0xeb	0xfebd	#ARABIC LETTER DAD ISOLATED FORM
0xec	0xfecc	#ARABIC LETTER AIN MEDIAL FORM
0xed	0xfece	#ARABIC LETTER GHAIN FINAL FORM
0xee	0xfecd	#ARABIC LETTER GHAIN ISOLATED FORM
0xef	0xfee1	#ARABIC LETTER MEEM ISOLATED FORM
0xf0	0xfe7d	#ARABIC SHADDA MEDIAL FORM
0xf1	0x0651	#ARABIC SHADDAH
0xf2	0xfee5	#ARABIC LETTER NOON ISOLATED FORM
0xf3	0xfee9	#ARABIC LETTER HEH ISOLATED FORM
0xf4	0xfeec	#ARABIC LETTER HEH MEDIAL FORM
0xf5	0xfef0	#ARABIC LETTER ALEF MAKSURA FINAL FORM
0xf6	0xfef2	#ARABIC LETTER YEH FINAL FORM
0xf7	0xfed0	#ARABIC LETTER GHAIN MEDIAL FORM
0xf8	0xfed5	#ARABIC LETTER QAF ISOLATED FORM
0xf9	0xfef5	#ARABIC LIGATURE LAM WITH ALEF WITH MADDA ABOVE ISOLATED FORM
0xfa	0xfef6	#ARABIC LIGATURE LAM WITH ALEF WITH MADDA ABOVE FINAL FORM
0xfb	0xfedd	#ARABIC LETTER LAM ISOLATED FORM
0xfc	0xfed9	#ARABIC LETTER KAF ISOLATED FORM
0xfd	0xfef1	#ARABIC LETTER YEH ISOLATED FORM
0xfe	0x25a0	#BLACK SQUARE
0xff		#UNDEFINED

